央视频道,#genre#
卡酷动画,http://223.105.252.60/PLTV/4/224/3221226305/index.m3u8
地方特色,#genre#
北京东奥纪实,http://223.105.252.60/PLTV/3/224/3221227699/index.m3u8
数字付费,#genre#
教育1台,http://223.105.252.60/PLTV/4/224/3221225909/index.m3u8
教育2台,http://223.105.252.60/PLTV/4/224/3221225850/index.m3u8
教育3台,http://223.105.252.60/PLTV/4/224/3221227018/index.m3u8
教育4台,http://223.105.252.60/PLTV/4/224/3221227028/index.m3u8
地方特色,#genre#
篮球频道,http://223.105.252.60/PLTV/4/224/3221227023/index.m3u8
数字付费,#genre#
中数CCTV老故事,http://223.105.252.60/PLTV/4/224/3221227043/index.m3u8
中数女性时尚,http://223.105.252.60/PLTV/4/224/3221227026/index.m3u8
中数发现之旅,http://223.105.252.60/PLTV/4/224/3221227030/index.m3u8
地方特色,#genre#
北广京视剧场,http://223.105.252.60/PLTV/4/224/3221227040/index.m3u8
北广置业频道,http://223.105.252.60/PLTV/4/224/3221227037/index.m3u8
北广奕坛春秋,http://223.105.252.60/PLTV/4/224/3221227031/index.m3u8
陶瓷频道,http://223.105.252.60/PLTV/4/224/3221227768/index.m3u8
家庭理财,http://223.105.252.60/PLTV/4/224/3221227011/index.m3u8
江苏广播,#genre#
江苏财经广播,http://223.105.252.60/PLTV/4/224/3221227946/index.m3u8
江苏健康广播,http://223.105.252.60/PLTV/4/224/3221227952/index.m3u8
江苏文艺广播,http://223.105.252.60/PLTV/4/224/3221227987/index.m3u8
江苏音乐台,http://223.105.252.60/PLTV/4/224/3221227949/index.m3u8
江苏经典流行音乐,http://223.105.252.60/PLTV/4/224/3221227943/index.m3u8
金陵之声,http://223.105.252.60/PLTV/4/224/3221227940/index.m3u8
江苏交通广播网,http://223.105.252.60/PLTV/4/224/3221227937/index.m3u8
江苏新闻广播,http://223.105.252.60/PLTV/4/224/3221227984/index.m3u8
江苏新闻综合广播,http://223.105.252.60/PLTV/4/224/3221227934/index.m3u8
江苏故事广播,http://223.105.252.60/PLTV/4/224/3221227990/index.m3u8
